Date,Open,High,Low,Close,Adj Close,Volume
2/17/2011,10882.91016,10891.59961,10820.48047,10836.63965,10836.63965,173700
2/18/2011,10829.15039,10862.42969,10810.12012,10842.79981,10842.79981,151300
2/21/2011,10820.78027,10859.38965,10789.41016,10857.53027,10857.53027,136400
2/22/2011,10745.51953,10761.21973,10639.78027,10664.7002,10664.7002,178900
2/23/2011,10588.82031,10666.71973,10569.92969,10579.09961,10579.09961,182300
2/24/2011,10533.2002,10542.7002,10428.37988,10452.70996,10452.70996,184900
2/25/2011,10475.78027,10532.20996,10454.45996,10526.75977,10526.75977,154700
2/28/2011,10504.54004,10628.75977,10448.83008,10624.08984,10624.08984,186600
3/1/2011,10676.24023,10754.03027,10672.91016,10754.03027,10754.03027,156400
3/2/2011,10609.28027,10629.5,10492.37988,10492.37988,10492.37988,153300
3/3/2011,10529.76953,10593.33984,10522.40039,10586.01953,10586.01953,122400
3/4/2011,10730.91016,10768.42969,10664.37012,10693.66016,10693.66016,148300
3/7/2011,10626.96973,10626.96973,10472.50977,10505.01953,10505.01953,149400
3/8/2011,10513.08008,10565.09961,10509.23047,10525.19043,10525.19043,150300
3/9/2011,10607.23047,10662.07031,10563.82031,10589.5,10589.5,131000
3/10/2011,10544.12988,10549.16992,10410.09961,10434.37988,10434.37988,131000
3/11/2011,10298.63965,10378.54981,10254.42969,10254.42969,10254.42969,236000
3/14/2011,10044.16992,10049.91992,9578.650391,9620.490234,9620.490234,349800
3/15/2011,9441.660156,9441.660156,8227.629883,8605.150391,8605.150391,415700
3/16/2011,8767.200195,9168.509766,8763.950195,9093.719727,9093.719727,372100
3/17/2011,8913.349609,9093.610352,8639.55957,8962.669922,8962.669922,312100
3/18/2011,9083.950195,9275.599609,9073.25,9206.75,9206.75,245400
3/22/2011,9403.049805,9625.030273,9395.849609,9608.320313,9608.320313,252600
3/23/2011,9590.379883,9592.400391,9387.950195,9449.469727,9449.469727,265100
3/24/2011,9479.769531,9509.849609,9418.709961,9435.009766,9435.009766,200100
3/25/2011,9565.490234,9569.709961,9469.370117,9536.129883,9536.129883,203700
3/28/2011,9541.759766,9541.759766,9405.200195,9478.530273,9478.530273,192700
3/29/2011,9348.599609,9502.230469,9317.379883,9459.080078,9459.080078,200600
3/30/2011,9489.509766,9708.790039,9479.030273,9708.790039,9708.790039,217100
3/31/2011,9765.280273,9765.80957,9658.639648,9755.099609,9755.099609,187100
4/1/2011,9757.280273,9822.05957,9698.599609,9708.389648,9708.389648,191500
4/4/2011,9773.910156,9808.599609,9718.889648,9718.889648,9718.889648,171800
4/5/2011,9732.259766,9732.259766,9566.049805,9615.549805,9615.549805,182900
4/6/2011,9668.110352,9671.459961,9562.160156,9584.370117,9584.370117,203300
4/7/2011,9652.650391,9687.179688,9578.469727,9590.929688,9590.929688,165400
4/8/2011,9586.169922,9804.280273,9536.679688,9768.080078,9768.080078,215000
4/11/2011,9731.320313,9775.599609,9700.75,9719.700195,9719.700195,147500
4/12/2011,9603.5,9603.639648,9513.269531,9555.259766,9555.259766,169000
4/13/2011,9516.5,9655.830078,9516.5,9641.179688,9641.179688,157400
4/14/2011,9579.790039,9676.969727,9553.75,9653.919922,9653.919922,153100
4/15/2011,9646.219727,9651.959961,9577.959961,9591.519531,9591.519531,147900
4/18/2011,9593.410156,9608.919922,9539.030273,9556.650391,9556.650391,110100
